city,state,hisp_count,hisp_MOE
Palacios,TX,2816,496
Palestine,TX,4052,420
Palm Bay Melbourne,FL,34651,900
Palm Coast,FL,4821,528
Palmer,AK,279,88
Pampa,TX,4740,80
Panama City,FL,6766,467
Paradise,CA,2646,554
Paris,TX,1747,316
Parker,AZ,1796,321
Parlier,CA,12348,577
Pascagoula,MS,3357,452
Patterson,CA,10322,841
Patton Village,TX,1136,392
Paw Paw,MI,539,215
Pearsall,TX,7698,441
Pecos,TX,8337,394
Pendleton,OR,1245,359
Pensacola FL,AL,14977,500
Peoria,IL,7403,328
Perry,IA,2782,230
Perryton,TX,4076,289
Peru La Salle,IL,2505,456
Petaluma,CA,13959,1175
